epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8068,1.3951,3.70697,1.15625,0.00612,0.5,0.21339,0.20279,1.33253,3.58788,1.08437,1.667e-05,1.667e-05,1.667e-05
2,17.3241,1.20136,3.63992,1.15529,0.00542,0.5,0.4975,0.48106,0.97338,3.672,0.97872,4.95149e-05,4.95149e-05,4.95149e-05
3,18.7165,0.92006,3.56654,0.96483,0.00556,0.5303,0.49799,0.45632,0.85347,3.72826,0.90203,8.16997e-05,8.16997e-05,8.16997e-05
4,20.3923,0.92347,3.2728,0.90269,0.01842,0.9697,0.52461,0.43512,0.8613,3.54278,0.87442,0.000113224,0.000113224,0.000113224
5,21.929,0.81226,2.61778,0.86378,0.01957,1,0.53335,0.46728,0.92125,3.40116,0.87993,0.000144089,0.000144089,0.000144089
6,23.1909,0.97662,2.0793,0.87145,0.0195,1,0.53311,0.3717,0.98544,3.25455,0.89313,0.000174293,0.000174293,0.000174293
7,24.5946,0.89499,1.23879,0.84218,0.99827,0.5,0.53228,0.42698,0.97352,3.04018,0.8903,0.000203837,0.000203837,0.000203837
8,26.0563,0.80778,1.01999,0.88056,0.98158,0.5,0.59966,0.43987,0.96417,2.86917,0.87615,0.000232722,0.000232722,0.000232722
9,27.5166,0.8007,0.96743,0.83183,0.98322,0.5,0.5677,0.45416,0.9311,2.8836,0.87393,0.000260946,0.000260946,0.000260946
10,28.9657,0.81508,1.03468,0.84813,0.98736,0.5,0.53266,0.40259,0.89331,2.87925,0.87262,0.000288509,0.000288509,0.000288509
11,30.4232,0.90012,0.86327,0.89395,0.99308,0.5,0.53177,0.40402,0.94418,2.94602,0.89065,0.000315413,0.000315413,0.000315413
12,31.9219,0.73932,0.89555,0.81999,0.98571,0.5,0.53101,0.45153,0.9236,3.00389,0.89324,0.000341657,0.000341657,0.000341657
13,33.3636,0.70669,0.87967,0.82926,0.98878,0.5,0.53053,0.45601,0.90999,3.01319,0.89498,0.00036724,0.00036724,0.00036724
14,34.7514,0.74529,0.84281,0.84444,1,0.44003,0.53007,0.4246,0.88552,2.97588,0.88099,0.000392163,0.000392163,0.000392163
15,36.4015,0.72529,0.76614,0.82465,0.9568,0.5,0.53034,0.44532,0.85657,2.91933,0.87256,0.000416427,0.000416427,0.000416427
16,38.0277,0.64274,0.74738,0.8225,0.89163,0.5,0.56765,0.49732,0.78122,2.83077,0.85872,0.00044003,0.00044003,0.00044003
17,39.5341,0.72105,0.7341,0.83285,0.93399,0.5,0.72423,0.55148,0.83794,2.77138,0.87523,0.000462973,0.000462973,0.000462973
18,40.9756,0.73376,0.72157,0.82586,0.96375,0.5,0.75637,0.56722,0.96501,2.77792,0.9098,0.000485255,0.000485255,0.000485255
19,42.3544,0.82539,0.7327,0.85855,0.97976,0.5,0.69436,0.55336,1.01437,2.78955,0.91928,0.000506878,0.000506878,0.000506878
20,43.6681,0.73061,0.69568,0.84654,0.98247,0.5,0.58612,0.47858,0.92737,2.80727,0.89559,0.000527841,0.000527841,0.000527841
21,45.2512,0.62747,0.71646,0.8416,0.97681,0.5,0.53087,0.4736,0.80127,2.86403,0.8627,0.000548143,0.000548143,0.000548143
22,46.6542,0.74655,0.70258,0.84952,0.98424,0.5,0.53087,0.46448,0.77635,2.89064,0.85883,0.000567785,0.000567785,0.000567785
23,48.2019,0.78352,0.7419,0.84277,0.98285,0.5,0.53094,0.45144,0.79683,2.91866,0.86185,0.000586767,0.000586767,0.000586767
