epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.19123,1.3951,3.70697,1.15625,0.00612,0.5,0.21339,0.20279,1.33253,3.58788,1.08437,1.667e-05,1.667e-05,1.667e-05
2,4.58549,1.20136,3.63992,1.15529,0.00542,0.5,0.4975,0.48106,0.97338,3.672,0.97872,4.95149e-05,4.95149e-05,4.95149e-05
3,5.93602,0.92006,3.56654,0.96483,0.00556,0.5303,0.49799,0.45632,0.85347,3.72826,0.90203,8.16997e-05,8.16997e-05,8.16997e-05
4,7.20712,0.92347,3.2728,0.90269,0.01842,0.9697,0.52461,0.43512,0.8613,3.54278,0.87442,0.000113224,0.000113224,0.000113224
5,8.55839,0.81226,2.61778,0.86378,0.01957,1,0.53335,0.46728,0.92125,3.40116,0.87993,0.000144089,0.000144089,0.000144089
6,9.81904,0.97662,2.0793,0.87145,0.0195,1,0.53311,0.3717,0.98544,3.25455,0.89313,0.000174293,0.000174293,0.000174293
7,11.2585,0.89499,1.23879,0.84218,0.99827,0.5,0.53228,0.42698,0.97352,3.04018,0.8903,0.000203837,0.000203837,0.000203837
8,12.879,0.80778,1.01999,0.88056,0.98158,0.5,0.59966,0.43987,0.96417,2.86917,0.87615,0.000232722,0.000232722,0.000232722
9,14.367,0.8007,0.96743,0.83183,0.98322,0.5,0.5677,0.45416,0.9311,2.8836,0.87393,0.000260946,0.000260946,0.000260946
10,15.8083,0.81508,1.03468,0.84813,0.98736,0.5,0.53266,0.40259,0.89331,2.87925,0.87262,0.000288509,0.000288509,0.000288509
11,17.3084,0.90012,0.86327,0.89395,0.99308,0.5,0.53177,0.40402,0.94418,2.94602,0.89065,0.000315413,0.000315413,0.000315413
12,18.9251,0.73932,0.89555,0.81999,0.98571,0.5,0.53101,0.45153,0.9236,3.00389,0.89324,0.000341657,0.000341657,0.000341657
13,20.3532,0.70669,0.87967,0.82926,0.98878,0.5,0.53053,0.45601,0.90999,3.01319,0.89498,0.00036724,0.00036724,0.00036724
14,21.7431,0.74529,0.84281,0.84444,1,0.44003,0.53007,0.4246,0.88552,2.97588,0.88099,0.000392163,0.000392163,0.000392163
15,23.3549,0.72529,0.76614,0.82465,0.9568,0.5,0.53034,0.44532,0.85657,2.91933,0.87256,0.000416427,0.000416427,0.000416427
16,25.0683,0.64274,0.74738,0.8225,0.89163,0.5,0.56765,0.49732,0.78122,2.83077,0.85872,0.00044003,0.00044003,0.00044003
17,26.5442,0.72105,0.7341,0.83285,0.93399,0.5,0.72423,0.55148,0.83794,2.77138,0.87523,0.000462973,0.000462973,0.000462973
18,28.0509,0.73376,0.72157,0.82586,0.96375,0.5,0.75637,0.56722,0.96501,2.77792,0.9098,0.000485255,0.000485255,0.000485255
19,29.4652,0.82539,0.7327,0.85855,0.97976,0.5,0.69436,0.55336,1.01437,2.78955,0.91928,0.000506878,0.000506878,0.000506878
20,30.763,0.73061,0.69568,0.84654,0.98247,0.5,0.58612,0.47858,0.92737,2.80727,0.89559,0.000527841,0.000527841,0.000527841
21,32.2825,0.62747,0.71646,0.8416,0.97681,0.5,0.53087,0.4736,0.80127,2.86403,0.8627,0.000548143,0.000548143,0.000548143
22,33.6332,0.74655,0.70258,0.84952,0.98424,0.5,0.53087,0.46448,0.77635,2.89064,0.85883,0.000567785,0.000567785,0.000567785
23,35.1859,0.78352,0.7419,0.84277,0.98285,0.5,0.53094,0.45144,0.79683,2.91866,0.86185,0.000586767,0.000586767,0.000586767
24,36.541,0.69308,0.71301,0.83394,0.98329,0.5,0.53177,0.45212,0.82546,2.83522,0.86887,0.000605089,0.000605089,0.000605089
25,37.9523,0.66507,0.6619,0.84326,0.98405,0.5,0.7145,0.59936,0.86252,2.6324,0.88343,0.000622751,0.000622751,0.000622751
26,39.3634,0.61817,0.66691,0.83495,0.9842,0.5,0.95623,0.80291,0.78975,2.469,0.87729,0.000639753,0.000639753,0.000639753
27,40.9915,0.75466,0.63756,0.85482,0.94447,0.5,0.98732,0.8198,0.79086,2.36284,0.86971,0.000656095,0.000656095,0.000656095
28,42.4908,0.69363,0.61532,0.82297,0.94447,0.5,0.98732,0.8198,0.79086,2.36284,0.86971,0.000671776,0.000671776,0.000671776
29,44.1825,0.7592,0.63979,0.83354,0.9452,0.5,0.99303,0.82583,0.78718,2.2842,0.868,0.000686797,0.000686797,0.000686797
30,45.8938,0.79004,0.75778,0.88736,0.94555,0.5,0.99125,0.8397,0.78428,2.35749,0.86994,0.000701159,0.000701159,0.000701159
31,47.3992,0.63907,0.65426,0.84782,0.94555,0.5,0.99125,0.8397,0.78428,2.35749,0.86994,0.00071486,0.00071486,0.00071486
